Dose Level,Method,Iteration,Objective,RelativeChange,RelativeError,StepSize
25%,TV-GD,83,361.47403826100356,0.09604123256790138,,
25%,TV-GD,84,361.74852894818264,0.09599692760379958,,
25%,TV-GD,85,361.73989822361887,0.09617845852391083,,
25%,TV-GD,86,362.28448805764003,0.09636695041283609,,
25%,TV-GD,87,362.55594773540804,0.09640607851657107,,
25%,TV-GD,88,362.95782783212314,0.0964248562979845,,
25%,TV-GD,89,363.06056198022054,0.09655763456148865,,
25%,TV-GD,90,363.3041772343382,0.09675402793591426,,
25%,TV-GD,91,363.87428264859324,0.09689190533384169,,
25%,TV-GD,92,364.19344148310927,0.09679956071980968,,
25%,TV-GD,93,363.9849338601787,0.09682490229331031,,
25%,TV-GD,94,364.1759365286438,0.09697410048027395,,
25%,TV-GD,95,364.53528391902796,0.09712169620046689,,
25%,TV-GD,96,364.95304533999234,0.09707426992928422,,
25%,TV-GD,97,364.8017390594528,0.09710002516448889,,
25%,TV-GD,98,364.92299388583484,0.09721060393277428,,
25%,TV-GD,99,365.1318034487035,0.09727444796610377,,
25%,TV-GD,100,365.5292573919932,0.09719630726506115,,
25%,TV-GD,101,365.217167985479,0.09725924104498489,,
25%,TV-GD,102,365.47576428767667,0.09740757456296892,,
25%,TV-GD,103,365.73350861239373,0.09745191260085513,,
25%,TV-GD,104,365.82618225263593,0.09741893944947885,,
25%,TV-GD,105,365.7727785334665,0.09746381957721836,,
25%,TV-GD,106,365.9509940785472,0.0975190051583168,,
25%,TV-GD,107,365.92217427077276,0.0975060988287826,,
25%,TV-GD,108,366.0477832317582,0.09747461384387512,,
25%,TV-GD,109,365.98718686682713,0.09745340849179732,,
25%,TV-GD,110,365.84663129039325,0.0975100556749559,,
25%,TV-GD,111,365.9208930708938,0.09755332944420257,,
25%,TV-GD,112,366.1820954491401,0.09745732658158636,,
25%,TV-GD,113,365.8395926348561,0.0974287833184354,,
25%,TV-GD,114,365.8607557015143,0.09755045783549537,,
25%,TV-GD,115,366.0746020941813,0.09762371472095596,,
25%,TV-GD,116,366.2541218080654,0.0974767216063275,,
25%,TV-GD,117,365.8143502112761,0.0974091966454941,,
25%,TV-GD,118,365.8351467745299,0.09751014402415122,,
25%,TV-GD,119,366.0381152349082,0.09757018644249875,,
25%,TV-GD,120,366.09464761075526,0.09747901745493644,,
25%,Adaptive VST-PGD,1,59052.85819045455,0.04340992808373614,0.2172065878187381,0.08
25%,Adaptive VST-PGD,2,54342.460861561296,0.09212556381581302,0.15849778624696248,0.2
25%,Adaptive VST-PGD,3,47601.38517025202,0.07469122103420935,0.14171438974981518,0.12119624781317707
25%,Adaptive VST-PGD,4,36399.97420244202,0.043011493910060775,0.1280859204936075,0.06912858045260291
25%,Adaptive VST-PGD,5,33869.13012828603,0.02528431451539666,0.12235904220872398,0.04718310351595184
25%,Adaptive VST-PGD,6,30699.465401322574,0.015222580556940013,0.11929168949881483,0.027877919735364173
25%,Adaptive VST-PGD,7,29749.794224491663,0.008793916865592308,0.11749381156714747,0.018424008486735352
25%,Adaptive VST-PGD,8,28757.049367141204,0.005526448765220438,0.11643943878709301,0.011714694561843358
25%,Adaptive VST-PGD,9,28464.68321476985,0.0034470610997213687,0.11579436423887847,0.007596891512990549
25%,Adaptive VST-PGD,10,27994.77650543859,0.0021666438562260542,0.11541211512051762,0.004703813293287218
25%,Adaptive VST-PGD,11,27912.48130421899,0.001363743050527396,0.11516062282607088,0.003175397082029907
25%,Adaptive VST-PGD,12,27713.61385404463,0.0008834233381638811,0.11501031676169114,0.0019238535920550592
25%,Adaptive VST-PGD,13,27673.45904743406,0.0005821977013041177,0.11490268473129192,0.0013910246231202093
25%,Adaptive VST-PGD,14,27592.006669497354,0.00038047124355758047,0.11483775526869211,0.000847865191723386
25%,Adaptive VST-PGD,15,27571.081261069896,0.0002315317045812221,0.1147928706932938,0.0005884292028508328
25%,Adaptive VST-PGD,16,27541.993406214773,0.00015399065686860165,0.1147639898498091,0.0003801379317679206
25%,Adaptive VST-PGD,17,27531.566950834957,9.300009801534772e-05,0.11474339544660064,0.00027139036486868647
25%,Adaptive VST-PGD,18,27521.464910000064,6.376095168922806e-05,0.11472874041091655,0.0001933293477544063
25%,Adaptive VST-PGD,19,27515.862225440356,4.1477874053152334e-05,0.11471693419903747,0.0001558805464396513
25%,Adaptive VST-PGD,20,27511.27617883819,3.435609188010634e-05,0.11470586396576138,0.00014627791482975023
25%,Adaptive VST-PGD,21,27506.959723991415,3.469052432662453e-05,0.11469386255375477,0.00015870568319532993
25%,Adaptive VST-PGD,22,27502.725895885087,4.0083123365348064e-05,0.11468042387564872,0.00017786358354533169
25%,Adaptive VST-PGD,23,27498.34580821996,4.2376204752825963e-05,0.11466769866271499,0.00016856890972494977
25%,Adaptive VST-PGD,24,27493.679671878563,3.6628008596980586e-05,0.11465707909011692,0.0001407882608944491
25%,Adaptive VST-PGD,25,27489.770076431923,2.9259503368523024e-05,0.11464745115137175,0.00012773258851317312
25%,Adaptive VST-PGD,26,27486.024103223044,2.9071498203196725e-05,0.11463669379628946,0.00014281928187596262
25%,Adaptive VST-PGD,27,27482.147291517456,3.803798983938529e-05,0.11462281998710844,0.0001843554355967383
25%,Adaptive VST-PGD,28,27478.74601682622,4.642158147165931e-05,0.11460893331788287,0.00018471178067850145
25%,Adaptive VST-PGD,29,27473.415566025626,3.996129114867315e-05,0.11459875510766568,0.00013550433096451705
25%,Adaptive VST-PGD,30,27469.69484100773,2.646670024956614e-05,0.11459038869126316,0.00011146131212292014
25%,Adaptive VST-PGD,31,27466.379466166145,2.3789778048022574e-05,0.1145809400879518,0.00012596163022648372
25%,Adaptive VST-PGD,32,27462.001384550535,3.986039846480908e-05,0.11456455838502547,0.00021859092820399143
25%,Adaptive VST-PGD,33,27458.19294414656,3.402746849987405e-05,0.11455427536459907,0.0001373532009751513
25%,Adaptive VST-PGD,34,27454.58581571177,2.8002575457914604e-05,0.11454529470570157,0.00012004476734415407
25%,Adaptive VST-PGD,35,27451.295984044027,2.5179594930594315e-05,0.11453590296024829,0.0001256264849823269
25%,Adaptive VST-PGD,36,27447.646412230788,3.2134335862941755e-05,0.11452330140451565,0.0001686985718973192
25%,Adaptive VST-PGD,37,27444.950258464254,4.5571633259687873e-05,0.11450811773111873,0.00020347626136278869
25%,Adaptive VST-PGD,38,27440.314084131103,4.536551148701488e-05,0.11449711462016299,0.00014760078294414412
25%,Adaptive VST-PGD,39,27435.827197347822,2.9534945634503687e-05,0.114489315750488,0.00010469352394792054
25%,Adaptive VST-PGD,40,27433.047865081484,1.9232151670037164e-05,0.1144816805570158,0.00010255669275234683
10%,TV-GD,1,649.4905946807331,0.048680645296023665,,
10%,TV-GD,2,576.5222436239552,0.04217157867817725,,
10%,TV-GD,3,523.5086743632628,0.03797358996288764,,
10%,TV-GD,4,486.47696182457406,0.034818062390860376,,
10%,TV-GD,5,460.44999735621326,0.03419462119198791,,
10%,TV-GD,6,443.334343952155,0.035648957189020336,,
10%,TV-GD,7,432.55720596266787,0.03757038034498785,,
10%,TV-GD,8,424.19157198860523,0.03997990784591141,,
10%,TV-GD,9,420.96351295122906,0.04235738102381922,,
10%,TV-GD,10,417.08423058120235,0.044912501631256915,,
10%,TV-GD,11,417.5100131088362,0.0472027487788963,,
10%,TV-GD,12,415.37209724064667,0.04957089448815277,,
10%,TV-GD,13,418.19115044581633,0.05117490896339275,,
10%,TV-GD,14,416.7475110519054,0.05280514472674072,,
10%,TV-GD,15,419.5988131887681,0.05447684071579678,,
10%,TV-GD,16,418.88272371096036,0.05613267694143866,,
